54
  0.00000000   1.10000000
  0.01000000   2.19000000
  0.01500000   2.55000000
  0.02000000   2.85000000
  0.03000000   3.38000000
  0.04000000   3.82000000
  0.05000000   4.30000000
  0.07000000   5.08000000
  0.10000000   5.92000000
  0.12000000   6.42000000
  0.15000000   7.08000000
  0.17000000   7.38000000
  0.20000000   7.88000000
  0.25000000   8.48000000
  0.30000000   8.98000000
  0.35000000   9.36000000
  0.40000000   9.67000000
  0.50000000   9.87000000
  0.70000000   9.97000000
  1.00000000   9.96000000
  1.20000000  10.34000000
  1.30000000  10.92000000
  1.50000000  11.87000000
  1.70000000  13.47000000
  1.90000000  16.41000000
  2.10000000  16.85000000
  2.20000000  18.02000000
  2.50000000  17.92000000
  2.80000000  21.00000000
  3.00000000  17.20000000
  3.30000000  15.30000000
  3.60000000  13.96000000
  4.00000000  12.42000000
  4.50000000  11.19000000
  5.00000000  10.86000000
  6.00000000  10.36000000
  7.00000000  10.00000000
  8.00000000  10.20000000
 10.00000000   9.90000000
 12.00000000   9.50000000
 15.00000000   8.70000000
 17.00000000   8.26000000
 20.00000000   7.60000000
 25.00000000   6.70000000
 30.00000000   5.90000000
 50.00000000   3.80000000
 75.00000000   2.56000000
100.00000000   1.80000000
150.00000000   1.13000000
200.00000000   0.80000000
300.00000000   0.48000000
500.00000000   0.23000000
700.00000000   0.14300000
1000.00000000   0.00700000
